Year,Section,Category,applicants_n,accepted_n,note,source
2015,AGE,20-24 years,927,114,,equalopps_workbook
2015,AGE,25-29 years,1727,373,,equalopps_workbook
2015,AGE,30-34 years,548,62,,equalopps_workbook
2015,AGE,35-39 years,184,23,,equalopps_workbook
2015,AGE,40-44 years,103,10,,equalopps_workbook
2015,AGE,45-49 years,51,,,equalopps_workbook
2015,AGE,50-54 years,13,0,,equalopps_workbook
2015,AGE,55 and over,6,0,,equalopps_workbook
2015,AGE,Prefer not to say,6,0,,equalopps_workbook
2016,AGE,20-24 years,969,107,,equalopps_workbook
2016,AGE,25-29 years,1692,355,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2016,AGE,30-34 years,541,96,,equalopps_workbook
2016,AGE,35-39 years,197,15,,equalopps_workbook
2016,AGE,40-44 years,98,6,,equalopps_workbook
2016,AGE,45-49 years,48,6,,equalopps_workbook
2016,AGE,"50-54 years, 55 and over",16,0,,equalopps_workbook
2016,AGE,Prefer not to say,10,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2017,AGE,20-24 years,1045,132,,equalopps_workbook
2017,AGE,25-29 years,1806,339,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2017,AGE,30-34 years,522,73,,equalopps_workbook
2017,AGE,35-39 years,209,24,,equalopps_workbook
2017,AGE,40-44 years,109,7,,equalopps_workbook
2017,AGE,45-49 years,60,6,,equalopps_workbook
2017,AGE,"50-54 years, 55 and over",17,,,equalopps_workbook
2017,AGE,Prefer not to say,12,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2018,AGE,20-24 years,963,126,,equalopps_workbook
2018,AGE,25-29 years,1858,343,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2018,AGE,30-34 years,556,75,,equalopps_workbook
2018,AGE,35-39 years,209,28,,equalopps_workbook
2018,AGE,40-44 years,78,10,,equalopps_workbook
2018,AGE,45-49 years,67,7,,equalopps_workbook
2018,AGE,"50-54 years, 55 and over",20,,,equalopps_workbook
2018,AGE,Prefer not to say,14,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2019,AGE,20-24 years,1001,116,,equalopps_workbook
2019,AGE,25-29 years,1985,391,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2019,AGE,30-34 years,539,77,,equalopps_workbook
2019,AGE,35-39 years,201,12,,equalopps_workbook
2019,AGE,40-44 years,95,11,,equalopps_workbook
2019,AGE,45-49 years,68,,,equalopps_workbook
2019,AGE,50-54 years,17,,,equalopps_workbook
2019,AGE,55 and over,6,0,,equalopps_workbook
2019,AGE,Prefer not to say,13,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2020,AGE,20-24 years,996,141,,equalopps_workbook
2020,AGE,25-29 years,2075,471,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2020,AGE,30-34 years,590,106,,equalopps_workbook
2020,AGE,35-39 years,234,29,,equalopps_workbook
2020,AGE,40-44 years,93,15,,equalopps_workbook
2020,AGE,45-49 years,70,,,equalopps_workbook
2020,AGE,50-54 years,21,,,equalopps_workbook
2020,AGE,55 and over,9,0,,equalopps_workbook
2020,AGE,Prefer not to say,11,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2021,AGE,20-24 years,1014,178,,equalopps_workbook
2021,AGE,25-29 years,2289,609,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2021,AGE,30-34 years,637,143,,equalopps_workbook
2021,AGE,35-39 years,233,32,,equalopps_workbook
2021,AGE,40-44 years,120,14,,equalopps_workbook
2021,AGE,45-49 years,84,9,,equalopps_workbook
2021,AGE,50-54 years,19,,,equalopps_workbook
2021,AGE,55 and over,9,0,,equalopps_workbook
2021,AGE,Prefer not to say,15,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2022,AGE,20-24 years,1025,190,,equalopps_workbook
2022,AGE,25-29 years,2356,709,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2022,AGE,30-34 years,631,162,,equalopps_workbook
2022,AGE,35-39 years,272,55,,equalopps_workbook
2022,AGE,40-44 years,137,9,,equalopps_workbook
2022,AGE,45-49 years,67,10,,equalopps_workbook
2022,AGE,50-54 years,21,,,equalopps_workbook
2022,AGE,55 and over,8,,,equalopps_workbook
2022,AGE,Prefer not to say,7,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2023,AGE,20-24 years,1160,215,,equalopps_workbook
2023,AGE,25-29 years,2553,716,,equalopps_workbook
2023,AGE,30-34 years,687,170,,equalopps_workbook
2023,AGE,35-39 years,275,43,,equalopps_workbook
2023,AGE,40-44 years,165,20,,equalopps_workbook
2023,AGE,45-49 years,80,9,,equalopps_workbook
2023,AGE,50-54 years,25,,,equalopps_workbook
2023,AGE,55 and over,12,,,equalopps_workbook
2023,AGE,Prefer not to say,33,8,,equalopps_workbook
2024,AGE,20-24 years,1244,210,,equalopps_workbook
2024,AGE,25-29 years,2893,709,,equalopps_workbook
2024,AGE,30-34 years,797,156,,equalopps_workbook
2024,AGE,35-39 years,293,47,,equalopps_workbook
2024,AGE,40-44 years,199,17,,equalopps_workbook
2024,AGE,45-49 years,102,8,,equalopps_workbook
2024,AGE,50-54 years,33,,,equalopps_workbook
2024,AGE,55 and over,10,,,equalopps_workbook
2024,AGE,Prefer not to say,32,7,,equalopps_workbook
2015,DEPENDANTS,Has dependants,381,33,,equalopps_workbook
2015,DEPENDANTS,No dependants,3156,544,,equalopps_workbook
2015,DEPENDANTS,Prefer not to say,28,5,,equalopps_workbook
2016,DEPENDANTS,Has dependants,348,42,,equalopps_workbook
2016,DEPENDANTS,No dependants,3200,543,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2016,DEPENDANTS,Prefer not to say,23,0,Acceptance values reassigned to 'No dependants' row; set to 0 here (true value suppressed in source),equalopps_workbook
2017,DEPENDANTS,Has dependants,362,34,,equalopps_workbook
2017,DEPENDANTS,No dependants,3396,547,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2017,DEPENDANTS,Prefer not to say,22,0,Acceptance values reassigned to 'No dependants' row; set to 0 here (true value suppressed in source),equalopps_workbook
2018,DEPENDANTS,Has dependants,380,47,,equalopps_workbook
2018,DEPENDANTS,No dependants,3367,539,,equalopps_workbook
2018,DEPENDANTS,Prefer not to say,18,3,,equalopps_workbook
2019,DEPENDANTS,Has dependants,385,38,,equalopps_workbook
2019,DEPENDANTS,No dependants,3510,569,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2019,DEPENDANTS,Prefer not to say,30,0,Acceptance values reassigned to 'No dependants' row; set to 0 here (true value suppressed in source),equalopps_workbook
2020,DEPENDANTS,Has dependants,423,42,,equalopps_workbook
2020,DEPENDANTS,No dependants,3652,713,,equalopps_workbook
2020,DEPENDANTS,Prefer not to say,24,7,,equalopps_workbook
2021,DEPENDANTS,Has dependants,489,61,,equalopps_workbook
2021,DEPENDANTS,No dependants,3899,924,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2021,DEPENDANTS,Prefer not to say,32,0,Acceptance values reassigned to 'No dependants' row; set to 0 here (true value suppressed in source),equalopps_workbook
2022,DEPENDANTS,Has dependants,493,70,,equalopps_workbook
2022,DEPENDANTS,No dependants,3993,1052,,equalopps_workbook
2022,DEPENDANTS,Prefer not to say,38,13,,equalopps_workbook
2023,DEPENDANTS,Has dependants,577,68,,equalopps_workbook
2023,DEPENDANTS,No dependants,4350,1101,,equalopps_workbook
2023,DEPENDANTS,Prefer not to say,63,12,,equalopps_workbook
2024,DEPENDANTS,Has dependants,636,82,,equalopps_workbook
2024,DEPENDANTS,No dependants,4910,1064,,equalopps_workbook
2024,DEPENDANTS,Prefer not to say,57,8,,equalopps_workbook
2015,DISABILITY,"Blind/partially sighted, Disabled (not specified)",12,6,,equalopps_workbook
2015,DISABILITY,Deaf/hearing impairment,12,,,equalopps_workbook
2015,DISABILITY,Dyslexia,143,35,,equalopps_workbook
2015,DISABILITY,Mental health difficulties,24,,,equalopps_workbook
2015,DISABILITY,No disability,3206,513,,equalopps_workbook
2015,DISABILITY,Other disability,33,8,,equalopps_workbook
2015,DISABILITY,Personal care support,0,0,,equalopps_workbook
2015,DISABILITY,Prefer not to say,42,8,,equalopps_workbook
2015,DISABILITY,Total with a disability,317,61,,equalopps_workbook
2015,DISABILITY,Two or more disabilities,22,,,equalopps_workbook
2015,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",59,12,,equalopps_workbook
2015,DISABILITY,Wheelchair user/mobility difficulties,12,,,equalopps_workbook
2016,DISABILITY,Blind/partially sighted,7,6,,equalopps_workbook
2016,DISABILITY,Deaf/hearing impairment,10,,,equalopps_workbook
2016,DISABILITY,Dyslexia,146,29,,equalopps_workbook
2016,DISABILITY,Mental health difficulties,35,6,,equalopps_workbook
2016,DISABILITY,No disability,3186,506,,equalopps_workbook
2016,DISABILITY,"Other disability, Disabled (not specified)",34,8,,equalopps_workbook
2016,DISABILITY,Personal care support,0,0,,equalopps_workbook
2016,DISABILITY,Prefer not to say,47,12,,equalopps_workbook
2016,DISABILITY,Total with a disability,338,67,,equalopps_workbook
2016,DISABILITY,Two or more disabilities,27,,,equalopps_workbook
2016,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",72,18,,equalopps_workbook
2016,DISABILITY,Wheelchair user/mobility difficulties,7,,,equalopps_workbook
2017,DISABILITY,"Blind/partially sighted, Deaf/hearing impairment",14,7,,equalopps_workbook
2017,DISABILITY,Disabled (not specified),6,,,equalopps_workbook
2017,DISABILITY,Dyslexia,159,24,,equalopps_workbook
2017,DISABILITY,Mental health difficulties,44,,,equalopps_workbook
2017,DISABILITY,No disability,3365,522,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2017,DISABILITY,Other disability,31,5,,equalopps_workbook
2017,DISABILITY,Personal care support,0,0,,equalopps_workbook
2017,DISABILITY,Prefer not to say,52,0,Acceptance values reassigned to 'No disability' row; set to 0 here (true value suppressed in source),equalopps_workbook
2017,DISABILITY,Total with a disability,363,59,,equalopps_workbook
2017,DISABILITY,Two or more disabilities,34,9,,equalopps_workbook
2017,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",66,14,,equalopps_workbook
2017,DISABILITY,Wheelchair user/mobility difficulties,9,,,equalopps_workbook
2018,DISABILITY,"Blind/partially sighted, Deaf/hearing impairment",12,6,,equalopps_workbook
2018,DISABILITY,Disabled (not specified),5,,,equalopps_workbook
2018,DISABILITY,Dyslexia,181,19,,equalopps_workbook
2018,DISABILITY,Mental health difficulties,34,,,equalopps_workbook
2018,DISABILITY,No disability,3310,519,,equalopps_workbook
2018,DISABILITY,Other disability,49,10,,equalopps_workbook
2018,DISABILITY,Personal care support,0,0,,equalopps_workbook
2018,DISABILITY,Prefer not to say,45,9,,equalopps_workbook
2018,DISABILITY,Total with a disability,410,61,,equalopps_workbook
2018,DISABILITY,Two or more disabilities,43,10,,equalopps_workbook
2018,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",76,16,,equalopps_workbook
2018,DISABILITY,Wheelchair user/mobility difficulties,10,,,equalopps_workbook
2019,DISABILITY,Deaf/hearing impairment,14,,,equalopps_workbook
2019,DISABILITY,"Disabled (not specified), Blind/partially sighted",8,7,,equalopps_workbook
2019,DISABILITY,Dyslexia,194,39,,equalopps_workbook
2019,DISABILITY,Mental health difficulties,53,7,,equalopps_workbook
2019,DISABILITY,No disability,3388,520,,equalopps_workbook
2019,DISABILITY,Other disability,70,,,equalopps_workbook
2019,DISABILITY,Personal care support,0,0,,equalopps_workbook
2019,DISABILITY,Prefer not to say,51,7,,equalopps_workbook
2019,DISABILITY,Total with a disability,486,80,,equalopps_workbook
2019,DISABILITY,Two or more disabilities,43,15,,equalopps_workbook
2019,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",92,12,,equalopps_workbook
2019,DISABILITY,Wheelchair user/mobility difficulties,12,,,equalopps_workbook
2020,DISABILITY,Blind/partially sighted,7,0,,equalopps_workbook
2020,DISABILITY,Deaf/hearing impairment,14,,,equalopps_workbook
2020,DISABILITY,Disabled (not specified),10,6,,equalopps_workbook
2020,DISABILITY,Dyslexia,181,44,,equalopps_workbook
2020,DISABILITY,Mental health difficulties,72,11,,equalopps_workbook
2020,DISABILITY,No disability,3512,633,,equalopps_workbook
2020,DISABILITY,Other disability,75,20,,equalopps_workbook
2020,DISABILITY,Personal care support,0,0,,equalopps_workbook
2020,DISABILITY,Prefer not to say,73,21,,equalopps_workbook
2020,DISABILITY,Total with a disability,514,108,,equalopps_workbook
2020,DISABILITY,Two or more disabilities,51,7,,equalopps_workbook
2020,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",97,20,,equalopps_workbook
2020,DISABILITY,Wheelchair user/mobility difficulties,7,,,equalopps_workbook
2021,DISABILITY,Blind/partially sighted,11,10,,equalopps_workbook
2021,DISABILITY,Deaf/hearing impairment,14,,,equalopps_workbook
2021,DISABILITY,Disabled (not specified),6,0,,equalopps_workbook
2021,DISABILITY,Dyslexia,195,43,,equalopps_workbook
2021,DISABILITY,Mental health difficulties,87,24,,equalopps_workbook
2021,DISABILITY,No disability,3751,832,,equalopps_workbook
2021,DISABILITY,Other disability,75,15,,equalopps_workbook
2021,DISABILITY,Personal care support,0,0,,equalopps_workbook
2021,DISABILITY,Prefer not to say,77,14,,equalopps_workbook
2021,DISABILITY,Total with a disability,592,139,,equalopps_workbook
2021,DISABILITY,Two or more disabilities,72,17,,equalopps_workbook
2021,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",116,30,,equalopps_workbook
2021,DISABILITY,Wheelchair user/mobility difficulties,16,,,equalopps_workbook
2022,DISABILITY,Blind/partially sighted,7,,,equalopps_workbook
2022,DISABILITY,Deaf/hearing impairment,10,5,,equalopps_workbook
2022,DISABILITY,Disabled (not specified),10,7,,equalopps_workbook
2022,DISABILITY,Dyslexia,210,45,,equalopps_workbook
2022,DISABILITY,Mental health difficulties,131,37,,equalopps_workbook
2022,DISABILITY,No disability,3725,931,,equalopps_workbook
2022,DISABILITY,Other disability,90,22,,equalopps_workbook
2022,DISABILITY,Personal care support,0,0,,equalopps_workbook
2022,DISABILITY,Prefer not to say,97,24,,equalopps_workbook
2022,DISABILITY,Total with a disability,702,180,,equalopps_workbook
2022,DISABILITY,Two or more disabilities,111,34,,equalopps_workbook
2022,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",119,30,,equalopps_workbook
2022,DISABILITY,Wheelchair user/mobility difficulties,14,,,equalopps_workbook
2023,DISABILITY,Blind/partially sighted,9,,,equalopps_workbook
2023,DISABILITY,Deaf/hearing impairment,19,,,equalopps_workbook
2023,DISABILITY,Dyslexia,220,53,,equalopps_workbook
2023,DISABILITY,Mental health difficulties,152,43,,equalopps_workbook
2023,DISABILITY,No disability,4001,915,,equalopps_workbook
2023,DISABILITY,Other disability,118,37,,equalopps_workbook
2023,DISABILITY,Personal care support,0,0,,equalopps_workbook
2023,DISABILITY,Prefer not to say,165,39,,equalopps_workbook
2023,DISABILITY,Total with a disability,824,227,,equalopps_workbook
2023,DISABILITY,Two or more disabilities,139,40,,equalopps_workbook
2023,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",149,44,,equalopps_workbook
2023,DISABILITY,Wheelchair user/mobility difficulties,18,10,,equalopps_workbook
2024,DISABILITY,Blind/partially sighted,11,,,equalopps_workbook
2024,DISABILITY,Deaf/hearing impairment,31,,,equalopps_workbook
2024,DISABILITY,Dyslexia,216,48,,equalopps_workbook
2024,DISABILITY,Mental health difficulties,138,32,,equalopps_workbook
2024,DISABILITY,No disability,4457,916,,equalopps_workbook
2024,DISABILITY,Other disability,194,34,,equalopps_workbook
2024,DISABILITY,Personal care support,0,0,,equalopps_workbook
2024,DISABILITY,Prefer not to say,199,38,,equalopps_workbook
2024,DISABILITY,Total with a disability,947,200,,equalopps_workbook
2024,DISABILITY,Two or more disabilities,177,36,,equalopps_workbook
2024,DISABILITY,"Unseen disability eg diabetes, epilepsy, asthma",161,41,,equalopps_workbook
2024,DISABILITY,Wheelchair user/mobility difficulties,19,9,,equalopps_workbook
2015,ETHNICITY,African,78,8,,equalopps_workbook
2015,ETHNICITY,"Asian (not specified), Other Asian background",40,,,equalopps_workbook
2015,ETHNICITY,Bangladeshi,17,6,,equalopps_workbook
2015,ETHNICITY,Black (not specified),5,0,,equalopps_workbook
2015,ETHNICITY,British English,1779,358,,equalopps_workbook
2015,ETHNICITY,British Scottish,168,37,,equalopps_workbook
2015,ETHNICITY,British Welsh,111,19,,equalopps_workbook
2015,ETHNICITY,Caribbean,54,,,equalopps_workbook
2015,ETHNICITY,Chinese,34,8,,equalopps_workbook
2015,ETHNICITY,Indian,129,20,,equalopps_workbook
2015,ETHNICITY,Irish,183,23,,equalopps_workbook
2015,ETHNICITY,Middle Eastern/North African,28,5,,equalopps_workbook
2015,ETHNICITY,"Mixed (not specified), Other Mixed background",55,6,,equalopps_workbook
2015,ETHNICITY,Other Black background,9,,,equalopps_workbook
2015,ETHNICITY,Other British (white),84,12,,equalopps_workbook
2015,ETHNICITY,Other White background,403,37,,equalopps_workbook
2015,ETHNICITY,"Other ethnicity (not specified), Other ethnic background",22,,,equalopps_workbook
2015,ETHNICITY,Pakistani,56,7,,equalopps_workbook
2015,ETHNICITY,Prefer not to say,45,5,,equalopps_workbook
2015,ETHNICITY,Total in the Asian/Asian British/Asian English/Asian Scottish/Asian Welsh group,242,33,,equalopps_workbook
2015,ETHNICITY,Total in the Black/Black British/Black English/Black Scottish/Black Welsh group,146,8,,equalopps_workbook
2015,ETHNICITY,Total in the Mixed group,130,19,,equalopps_workbook
2015,ETHNICITY,Total in the Other group,84,13,,equalopps_workbook
2015,ETHNICITY,Total in the White group,2918,504,,equalopps_workbook
2015,ETHNICITY,White & Asian,36,5,,equalopps_workbook
2015,ETHNICITY,White & Black African,12,8,,equalopps_workbook
2015,ETHNICITY,White & Black Caribbean,27,,,equalopps_workbook
2015,ETHNICITY,White (not specified),190,18,,equalopps_workbook
2016,ETHNICITY,African,88,5,,equalopps_workbook
2016,ETHNICITY,Asian (not specified),7,,,equalopps_workbook
2016,ETHNICITY,Bangladeshi,15,8,,equalopps_workbook
2016,ETHNICITY,"Black (not specified), Other Black background",15,0,,equalopps_workbook
2016,ETHNICITY,British English,1747,345,,equalopps_workbook
2016,ETHNICITY,British Scottish,171,29,,equalopps_workbook
2016,ETHNICITY,British Welsh,120,17,,equalopps_workbook
2016,ETHNICITY,Caribbean,52,5,,equalopps_workbook
2016,ETHNICITY,Chinese,31,,,equalopps_workbook
2016,ETHNICITY,Indian,104,13,,equalopps_workbook
2016,ETHNICITY,Irish,167,20,,equalopps_workbook
2016,ETHNICITY,Middle Eastern/North African,31,7,,equalopps_workbook
2016,ETHNICITY,Mixed (not specified),5,0,Acceptance values reassigned to 'Other Mixed background' row; set to 0 here (true value suppressed in source),equalopps_workbook
2016,ETHNICITY,Other Asian background,37,,,equalopps_workbook
2016,ETHNICITY,Other British (white),81,22,,equalopps_workbook
2016,ETHNICITY,Other Mixed background,71,12,Acceptance values moved here from misaligned 'Mixed (not specified)' row above; success rate recomputed,equalopps_workbook
2016,ETHNICITY,Other White background,395,47,,equalopps_workbook
2016,ETHNICITY,"Other ethnicity (not specified), Other ethnic background",24,,,equalopps_workbook
2016,ETHNICITY,Pakistani,63,5,,equalopps_workbook
2016,ETHNICITY,Prefer not to say,43,11,,equalopps_workbook
2016,ETHNICITY,Total in the Asian/Asian British/Asian English/Asian Scottish/Asian Welsh group,226,26,,equalopps_workbook
2016,ETHNICITY,Total in the Black/Black British/Black English/Black Scottish/Black Welsh group,155,10,,equalopps_workbook
2016,ETHNICITY,Total in the Mixed group,151,30,,equalopps_workbook
2016,ETHNICITY,Total in the Other group,86,7,,equalopps_workbook
2016,ETHNICITY,Total in the White group,2910,501,,equalopps_workbook
2016,ETHNICITY,White & Asian,44,9,,equalopps_workbook
2016,ETHNICITY,White & Black African,7,0,Acceptance values reassigned to 'White & Black Caribbean' row; set to 0 here (true value suppressed in source),equalopps_workbook
2016,ETHNICITY,White & Black Caribbean,24,9,Acceptance values moved here from misaligned 'White & Black African' row above; success rate recomputed,equalopps_workbook
2016,ETHNICITY,White (not specified),229,21,,equalopps_workbook
2017,ETHNICITY,African,87,10,,equalopps_workbook
2017,ETHNICITY,Asian (not specified),7,,,equalopps_workbook
2017,ETHNICITY,Bangladeshi,25,8,,equalopps_workbook
2017,ETHNICITY,"Black (not specified), Other Black background",5,0,,equalopps_workbook
2017,ETHNICITY,British English,1874,346,,equalopps_workbook
2017,ETHNICITY,British Scottish,191,38,,equalopps_workbook
2017,ETHNICITY,British Welsh,130,30,,equalopps_workbook
2017,ETHNICITY,Caribbean,60,,,equalopps_workbook
2017,ETHNICITY,Chinese,37,,,equalopps_workbook
2017,ETHNICITY,Indian,124,5,,equalopps_workbook
2017,ETHNICITY,Irish,203,25,,equalopps_workbook
2017,ETHNICITY,Middle Eastern/North African,25,7,,equalopps_workbook
2017,ETHNICITY,Mixed (not specified),6,,,equalopps_workbook
2017,ETHNICITY,Other Asian background,50,,,equalopps_workbook
2017,ETHNICITY,Other British (white),78,15,,equalopps_workbook
2017,ETHNICITY,Other Mixed background,70,15,,equalopps_workbook
2017,ETHNICITY,Other White background,413,37,,equalopps_workbook
2017,ETHNICITY,Other ethnic background,19,,,equalopps_workbook
2017,ETHNICITY,Other ethnicity (not specified),7,,,equalopps_workbook
2017,ETHNICITY,Pakistani,72,6,,equalopps_workbook
2017,ETHNICITY,Prefer not to say,45,7,,equalopps_workbook
2017,ETHNICITY,Total in the Asian/Asian British/Asian English/Asian Scottish/Asian Welsh group,278,19,,equalopps_workbook
2017,ETHNICITY,Total in the Black/Black British/Black English/Black Scottish/Black Welsh group,152,10,,equalopps_workbook
2017,ETHNICITY,Total in the Mixed group,154,26,,equalopps_workbook
2017,ETHNICITY,Total in the Other group,88,7,,equalopps_workbook
2017,ETHNICITY,Total in the White group,3063,512,,equalopps_workbook
2017,ETHNICITY,White & Asian,46,5,,equalopps_workbook
2017,ETHNICITY,White & Black African,9,6,,equalopps_workbook
2017,ETHNICITY,White & Black Caribbean,23,,,equalopps_workbook
2017,ETHNICITY,White (not specified),174,21,,equalopps_workbook
2018,ETHNICITY,African,94,8,,equalopps_workbook
2018,ETHNICITY,Asian (not specified),7,,,equalopps_workbook
2018,ETHNICITY,Bangladeshi,29,,,equalopps_workbook
2018,ETHNICITY,"Black (not specified), Other Black background",9,0,,equalopps_workbook
2018,ETHNICITY,British English,1928,354,,equalopps_workbook
2018,ETHNICITY,British Scottish,193,34,,equalopps_workbook
2018,ETHNICITY,British Welsh,129,19,,equalopps_workbook
2018,ETHNICITY,Caribbean,60,6,,equalopps_workbook
2018,ETHNICITY,Chinese,34,6,,equalopps_workbook
2018,ETHNICITY,Indian,121,16,,equalopps_workbook
2018,ETHNICITY,Irish,194,28,,equalopps_workbook
2018,ETHNICITY,Middle Eastern/North African,28,6,,equalopps_workbook
2018,ETHNICITY,"Mixed (not specified), Other Mixed background",71,12,,equalopps_workbook
2018,ETHNICITY,Other Asian background,43,,,equalopps_workbook
2018,ETHNICITY,Other British (white),72,16,,equalopps_workbook
2018,ETHNICITY,Other White background,394,40,,equalopps_workbook
2018,ETHNICITY,"Other ethnicity (not specified), Other ethnic background",28,,,equalopps_workbook
2018,ETHNICITY,Pakistani,64,8,,equalopps_workbook
2018,ETHNICITY,Prefer not to say,52,8,,equalopps_workbook
2018,ETHNICITY,Total in the Asian/Asian British/Asian English/Asian Scottish/Asian Welsh group,264,24,,equalopps_workbook
2018,ETHNICITY,Total in the Black/Black British/Black English/Black Scottish/Black Welsh group,163,14,,equalopps_workbook
2018,ETHNICITY,Total in the Mixed group,151,24,,equalopps_workbook
2018,ETHNICITY,Total in the Other group,90,12,,equalopps_workbook
2018,ETHNICITY,Total in the White group,3045,507,,equalopps_workbook
2018,ETHNICITY,White & Asian,43,12,,equalopps_workbook
2018,ETHNICITY,White & Black African,12,,,equalopps_workbook
2018,ETHNICITY,White & Black Caribbean,25,,,equalopps_workbook
2018,ETHNICITY,White (not specified),135,16,,equalopps_workbook
2019,ETHNICITY,African,107,12,,equalopps_workbook
2019,ETHNICITY,Asian (not specified),14,,,equalopps_workbook
2019,ETHNICITY,Bangladeshi,25,7,,equalopps_workbook
2019,ETHNICITY,Black (not specified),6,,,equalopps_workbook
2019,ETHNICITY,British English,1985,362,,equalopps_workbook
2019,ETHNICITY,British Scottish,186,30,,equalopps_workbook
2019,ETHNICITY,British Welsh,119,25,,equalopps_workbook
2019,ETHNICITY,Caribbean,63,6,,equalopps_workbook
2019,ETHNICITY,Chinese,27,10,,equalopps_workbook
2019,ETHNICITY,Indian,142,9,,equalopps_workbook
2019,ETHNICITY,Irish,190,30,,equalopps_workbook
2019,ETHNICITY,Middle Eastern/North African,26,6,,equalopps_workbook
2019,ETHNICITY,"Mixed (not specified), Other Mixed background",69,13,,equalopps_workbook
2019,ETHNICITY,Other Asian background,38,,,equalopps_workbook
2019,ETHNICITY,Other Black background,6,,,equalopps_workbook
2019,ETHNICITY,Other British (white),73,17,,equalopps_workbook
2019,ETHNICITY,Other White background,430,39,,equalopps_workbook
2019,ETHNICITY,"Other ethnicity (not specified), Other ethnic background",34,,,equalopps_workbook
2019,ETHNICITY,Pakistani,88,5,,equalopps_workbook
2019,ETHNICITY,Prefer not to say,58,6,,equalopps_workbook
2019,ETHNICITY,Total in the Asian/Asian British/Asian English/Asian Scottish/Asian Welsh group,307,21,,equalopps_workbook
2019,ETHNICITY,Total in the Black/Black British/Black English/Black Scottish/Black Welsh group,182,18,,equalopps_workbook
2019,ETHNICITY,Total in the Mixed group,171,28,,equalopps_workbook
2019,ETHNICITY,Total in the Other group,87,16,,equalopps_workbook
2019,ETHNICITY,Total in the White group,3120,518,,equalopps_workbook
2019,ETHNICITY,White & Asian,54,9,,equalopps_workbook
